Study,Author,Year,Journal,Study on NIS?,MeanControl,upperSEControl,SEControl,SDControl,MeanTreatment,upperSETreatment,SETreatment,SDTreatment,ReplicatesControl,ReplicatesTreatment,Parameter,Group,FunctionalGroup,Species,Classification STUDY,Sizeoftilestandardisedperm2,Sizeofassessedareatandardisedperm2,Reporteddensityperm2,Control,Treatment,Depth,Depthmeter,End (Y/N),Experiment,Location,Duration,Durationdays,Durationweeks,Durationmonths,Year (start),Month (start),Latitude,Longtitude,Country,Feature,SubstrateMaterial,Orientation,Movement,DepthHeldConstant,Shaded/Unshaded,Shading held constant,Source of data,ControlSubstrate,TreatmentSubstrate,Orientation_Detail,Notes_1,Notes_2,Notes_3
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.617283951,,,0.55211555,6.275720165,,,0.721632836,6,6,PercentageCover,Invertebrates,Bivalves,Mytilus galloprovincialis,NIS,0.0121,0.0081,,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0.514403292,,,0.606908691,6,6,PercentageCover,Invertebrates,Ascidians,Botrylloides magnicoecum,N,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,Botrylloides magnicoecum in dataset,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0.720164609,,,1.482338572,6,6,PercentageCover,Invertebrates,Ascidians,Botrylloides magnicoecum,N,0.0121,0.0081,,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.205761317,,,0.504010235,0.102880659,,,0.252005118,6,6,PercentageCover,Invertebrates,Polychaetes,Spirobranchus taeniatus,N,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,Pomatoceros taeniata in dataset,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.411522634,,,0.637528123,0.411522634,,,1.00802047,6,6,PercentageCover,Invertebrates,Polychaetes,Spirobranchus taeniatus,N,0.0121,0.0081,,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,6.172839506,,,4.000457221,0.308641975,,,0.756015353,6,6,PercentageCover,Invertebrates,Polychaetes,Galeolaria caespitosa,N,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,8.64197531,,,7.355787216,1.234567901,,,1.789058857,6,6,PercentageCover,Invertebrates,Polychaetes,Galeolaria caespitosa,N,0.0121,0.0081,,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,4.012345679,,,2.808472387,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Fenestrulina mutabilis,N,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,8.950617284,,,10.34940562,0.308641975,,,0.516456806,6,6,PercentageCover,Invertebrates,Bryozoans,Fenestrulina mutabilis,N,0.0121,0.0081,,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0.205761317,,,0.504010235,6,6,PercentageCover,Invertebrates,Barnacles,Tetraclitella purpurascens,N,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,1.851851852,,,1.512030705,6.275720164,,,5.200105907,6,6,PercentageCover,Invertebrates,Ascidians,Didemnum,NA,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.514403292,,,0.606908691,1.543209877,,,1.394023431,6,6,PercentageCover,Invertebrates,Ascidians,Didemnum,NA,0.0121,0.0081,,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.925925926,,,1.219038127,6.378600823,,,8.942454059,6,6,PercentageCover,Invertebrates,Ascidians,Diplosoma listerianum,NIS,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp3,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.617283951,,,0.956292184,5.041152264,,,7.213687758,6,6,PercentageCover,Invertebrates,Ascidians,Diplosoma listerianum,NIS,0.0121,0.0081,,Fixed,Floating,2m,2,Y,Exp4,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.925925926,,,1.981087227,3.189300412,,,2.419774082,6,6,PercentageCover,Invertebrates,Ascidians,Herdmania momus,N,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp3,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.102880659,,,0.252005118,0.617283951,,,1.512030706,6,6,PercentageCover,Invertebrates,Ascidians,Herdmania momus,N,0.0121,0.0081,,Fixed,Floating,2m,2,Y,Exp4,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,10.59670782,,,7.462926371,12.75720165,,,10.80276307,6,6,PercentageCover,Invertebrates,Ascidians,Botrylloides leachii,NIS,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp3,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,1.131687243,,,1.430004144,4.835390946,,,5.330369927,6,6,PercentageCover,Invertebrates,Ascidians,Botrylloides leachii,NIS,0.0121,0.0081,,Fixed,Floating,2m,2,Y,Exp4,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.411522634,,,0.637528123,0.925925926,,,1.219038127,6,6,PercentageCover,Invertebrates,Barnacles,Megabalanus coccopoma,NIS,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp3,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,M. rosa in dataset,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,1.234567901,,,2.173681094,1.028806584,,,1.686740867,6,6,PercentageCover,Invertebrates,Barnacles,Megabalanus coccopoma,NIS,0.0121,0.0081,,Fixed,Floating,2m,2,Y,Exp4,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,M. rosa in dataset,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,24.69135803,,,12.58411722,32.51028807,,,9.488252041,6,6,PercentageCover,Invertebrates,Barnacles,Amphibalanus variegatus,N,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp3,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,Austrobalanus in dataset,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,29.93827161,,,21.86178891,40.43209877,,,17.15893944,6,6,PercentageCover,Invertebrates,Barnacles,Amphibalanus variegatus,N,0.0121,0.0081,,Fixed,Floating,2m,2,Y,Exp4,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,2.057613169,,,2.806210226,0.514403292,,,0.82046922,6,6,PercentageCover,Invertebrates,Barnacles,Balanus trigonus,N,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp3,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,2.366255144,,,2.542630483,0.823045267,,,1.00802047,6,6,PercentageCover,Invertebrates,Barnacles,Balanus trigonus,N,0.0121,0.0081,,Fixed,Floating,2m,2,Y,Exp4,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,2.057613169,,,2.778920661,0.102880659,,,0.252005118,6,6,PercentageCover,Invertebrates,Bryozoans,Microporella coronata,NIS,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp3,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,M. sp. in raw data,
