,Effect_ID,Study,Author,Year,Journal,Study.on.NIS.,MeanControl,upperSEControl,SEControl,SDControl,MeanTreatment,upperSETreatment,SETreatment,SDTreatment,ReplicatesControl,ReplicatesTreatment,Parameter,Group,TaxonomicGroup,Species,Classification.STUDY,Sizeoftilestandardisedperm2,Sizeofassessedareatandardisedperm2,Reporteddensityperm2,Control,Treatment,Depth,Depthmeter,End..Y.N.,Experiment,Location,Duration,Durationdays,Durationweeks,Durationmonths,Year..start.,Month..start.,Latitude,Longtitude,Country,Feature,SubstrateMaterial,Orientation,Movement,DepthHeldConstant,Shaded.Unshaded,Shading.held.constant,Source.of.data,ControlSubstrate,TreatmentSubstrate,Orientation_Detail,Notes_1,Notes_2,Notes_3,Study_Experiment,Study_Location,Study_Experiment_Duration,Feature_Classification,Feature_TaxonomicGroup,TaxonomicGroup_Classification,Feature_TaxonomicGroup_Classification,Exp_ID,num_instances,Feature_Study,Feature_Study_Location,Feature_Study_Experiment_Duration,Feature_Species,Feature_Species_Classification,unique_types,reducedReplicatesControl,reducedReplicatesTreatment,yi,vi,Phylogeny
2060,2060,Lee_2018,Lee,2018,Thesis,Y,0.0058,NA,NA,0.014,11.66666667,NA,NA,28.57738033,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,0.0121,0.01,NA,upfacing,vertical,1m,1,Y,Exp10,North Haven,13 weeks,91,13,2.99177951,2016,June,"35°30'5""S","138°14'38""E",Australia,Orientation,Wood,,floating,,,,raw data supplied,,,Orientation_upvert,,,,Lee_2018_Exp10,Lee_2018_North Haven,Lee_2018_Exp10_13 weeks,Orientation_NIS,Orientation_Ascidians,Ascidians_NIS,Orientation_Ascidians_NIS,674,8,Orientation_Lee_2018,Orientation_Lee_2018_North Haven,Orientation_Lee_2018_Exp10_13 weeks,Orientation_Ciona intestinalis,Orientation_Ciona intestinalis_NIS,2,2,3,3.823641082,12.71807521,Ciona intestinalis
1478,1437,Hatcher_1998,Hatcher,1998,Hydrobiologia,N,0.0058,NA,0,0.014,0.33,NA,0.58,1.004589468,3,3,PercentageCover,Invertebrates,Ascidians,Botryllus schlosseri,N,400cm2,,NA,upfacing,downfacing,12m,12,N,Exp1,Poole Bay,363 days,363,51.85714286,11.9342335,1991,May,50o39'72'N,01o54'79'W,United Kingdom,Orientation,Coal Waste,,Fixed,Yes,Unshaded,No,Tables 1+2+3,,,Orientation_updown,,,,Hatcher_1998_Exp1,Hatcher_1998_Poole Bay,Hatcher_1998_Exp1_363 days,Orientation_N,Orientation_Ascidians,Ascidians_N,Orientation_Ascidians_N,573,1,Orientation_Hatcher_1998,Orientation_Hatcher_1998_Poole Bay,Orientation_Hatcher_1998_Exp1_363 days,Orientation_Botryllus schlosseri,Orientation_Botryllus schlosseri_N,1,3,3,2.021158368,12.59524057,Botryllus schlosseri
1480,1439,Hatcher_1998,Hatcher,1998,Hydrobiologia,N,0.33,NA,0.58,1.004589468,0.0058,NA,0,0.014,3,3,PercentageCover,Invertebrates,Ascidians,Dendrodoa grossularia,N,400cm2,,NA,upfacing,downfacing,12m,12,N,Exp1,Poole Bay,104 days,104,14.85714286,3.419174335,1991,May,50o39'72'N,01o54'79'W,United Kingdom,Orientation,Coal Waste,,Fixed,Yes,Unshaded,No,Tables 1+2+3,,,Orientation_updown,,,,Hatcher_1998_Exp1,Hatcher_1998_Poole Bay,Hatcher_1998_Exp1_104 days,Orientation_N,Orientation_Ascidians,Ascidians_N,Orientation_Ascidians_N,585,1,Orientation_Hatcher_1998,Orientation_Hatcher_1998_Poole Bay,Orientation_Hatcher_1998_Exp1_104 days,Orientation_Dendrodoa grossularia,Orientation_Dendrodoa grossularia_N,1,3,3,-2.021158368,12.59524057,Dendrodoa grossularia
1481,1440,Hatcher_1998,Hatcher,1998,Hydrobiologia,N,0.0058,NA,0,0.014,0.33,NA,0.58,1.004589468,3,3,PercentageCover,Invertebrates,Ascidians,Dendrodoa grossularia,N,400cm2,,NA,upfacing,downfacing,12m,12,N,Exp1,Poole Bay,363 days,363,51.85714286,11.9342335,1991,May,50o39'72'N,01o54'79'W,United Kingdom,Orientation,Coal Waste,,Fixed,Yes,Unshaded,No,Tables 1+2+3,,,Orientation_updown,,,,Hatcher_1998_Exp1,Hatcher_1998_Poole Bay,Hatcher_1998_Exp1_363 days,Orientation_N,Orientation_Ascidians,Ascidians_N,Orientation_Ascidians_N,586,1,Orientation_Hatcher_1998,Orientation_Hatcher_1998_Poole Bay,Orientation_Hatcher_1998_Exp1_363 days,Orientation_Dendrodoa grossularia,Orientation_Dendrodoa grossularia_N,1,3,3,2.021158368,12.59524057,Dendrodoa grossularia
1490,1449,Hatcher_1998,Hatcher,1998,Hydrobiologia,N,0.0058,NA,0,0.014,0.33,NA,0.58,1.004589468,3,3,PercentageCover,Invertebrates,Ascidians,Aplidium punctum,N,400cm2,,NA,upfacing,downfacing,12m,12,N,Exp1,Poole Bay,104 days,104,14.85714286,3.419174335,1991,May,50o39'72'N,01o54'79'W,United Kingdom,Orientation,Coal Waste,,Fixed,Yes,Unshaded,No,Tables 1+2+3,,,Orientation_updown,,,,Hatcher_1998_Exp1,Hatcher_1998_Poole Bay,Hatcher_1998_Exp1_104 days,Orientation_N,Orientation_Ascidians,Ascidians_N,Orientation_Ascidians_N,545,1,Orientation_Hatcher_1998,Orientation_Hatcher_1998_Poole Bay,Orientation_Hatcher_1998_Exp1_104 days,Orientation_Aplidium punctum,Orientation_Aplidium punctum_N,1,3,3,2.021158368,12.59524057,Aplidium punctum
1491,1450,Hatcher_1998,Hatcher,1998,Hydrobiologia,N,0.0058,NA,0,0.014,0.33,NA,0.58,1.004589468,3,3,PercentageCover,Invertebrates,Ascidians,Aplidium punctum,N,400cm2,,NA,upfacing,downfacing,12m,12,N,Exp1,Poole Bay,142 days,142,20.28571429,4.668488035,1991,May,50o39'72'N,01o54'79'W,United Kingdom,Orientation,Coal Waste,,Fixed,Yes,Unshaded,No,Tables 1+2+3,,,Orientation_updown,,,,Hatcher_1998_Exp1,Hatcher_1998_Poole Bay,Hatcher_1998_Exp1_142 days,Orientation_N,Orientation_Ascidians,Ascidians_N,Orientation_Ascidians_N,546,1,Orientation_Hatcher_1998,Orientation_Hatcher_1998_Poole Bay,Orientation_Hatcher_1998_Exp1_142 days,Orientation_Aplidium punctum,Orientation_Aplidium punctum_N,1,3,3,2.021158368,12.59524057,Aplidium punctum
1492,1451,Hatcher_1998,Hatcher,1998,Hydrobiologia,N,0.0058,NA,0,0.014,0.33,NA,0.58,1.004589468,3,3,PercentageCover,Invertebrates,Ascidians,Aplidium punctum,N,400cm2,,NA,upfacing,downfacing,12m,12,N,Exp1,Poole Bay,286 days,286,40.85714286,9.402729422,1991,May,50o39'72'N,01o54'79'W,United Kingdom,Orientation,Coal Waste,,Fixed,Yes,Unshaded,No,Tables 1+2+3,,,Orientation_updown,,,,Hatcher_1998_Exp1,Hatcher_1998_Poole Bay,Hatcher_1998_Exp1_286 days,Orientation_N,Orientation_Ascidians,Ascidians_N,Orientation_Ascidians_N,547,1,Orientation_Hatcher_1998,Orientation_Hatcher_1998_Poole Bay,Orientation_Hatcher_1998_Exp1_286 days,Orientation_Aplidium punctum,Orientation_Aplidium punctum_N,1,3,3,2.021158368,12.59524057,Aplidium punctum
1496,1455,Hatcher_1998,Hatcher,1998,Hydrobiologia,N,0.0058,NA,0,0.014,0.33,NA,0.58,1.004589468,3,3,PercentageCover,Invertebrates,Bryozoans,Bugulina fulva,NIS,400cm2,,NA,upfacing,downfacing,12m,12,N,Exp1,Poole Bay,363 days,363,51.85714286,11.9342335,1991,May,50o39'72'N,01o54'79'W,United Kingdom,Orientation,Coal Waste,,Fixed,Yes,Unshaded,No,Tables 1+2+3,,,Orientation_updown,Bugula fulva in paper,,,Hatcher_1998_Exp1,Hatcher_1998_Poole Bay,Hatcher_1998_Exp1_363 days,Orientation_NIS,Orientation_Bryozoans,Bryozoans_NIS,Orientation_Bryozoans_NIS,576,1,Orientation_Hatcher_1998,Orientation_Hatcher_1998_Poole Bay,Orientation_Hatcher_1998_Exp1_363 days,Orientation_Bugulina fulva,Orientation_Bugulina fulva_NIS,1,3,3,2.021158368,12.59524057,Bugulina fulva
1498,1457,Hatcher_1998,Hatcher,1998,Hydrobiologia,N,0.0058,NA,0,0.014,0.33,NA,0.58,1.004589468,3,3,PercentageCover,Invertebrates,Bryozoans,Cellepora pumicosa,N,400cm2,,NA,upfacing,downfacing,12m,12,N,Exp1,Poole Bay,202 days,202,28.85714286,6.641088613,1991,May,50o39'72'N,01o54'79'W,United Kingdom,Orientation,Coal Waste,,Fixed,Yes,Unshaded,No,Tables 1+2+3,,,Orientation_updown,,,,Hatcher_1998_Exp1,Hatcher_1998_Poole Bay,Hatcher_1998_Exp1_202 days,Orientation_N,Orientation_Bryozoans,Bryozoans_N,Orientation_Bryozoans_N,578,1,Orientation_Hatcher_1998,Orientation_Hatcher_1998_Poole Bay,Orientation_Hatcher_1998_Exp1_202 days,Orientation_Cellepora pumicosa,Orientation_Cellepora pumicosa_N,1,3,3,2.021158368,12.59524057,Cellepora pumicosa
1499,1458,Hatcher_1998,Hatcher,1998,Hydrobiologia,N,0.0058,NA,0,0.014,0.33,NA,0.58,1.004589468,3,3,PercentageCover,Invertebrates,Bryozoans,Cellepora pumicosa,N,400cm2,,NA,upfacing,downfacing,12m,12,N,Exp1,Poole Bay,286 days,286,40.85714286,9.402729422,1991,May,50o39'72'N,01o54'79'W,United Kingdom,Orientation,Coal Waste,,Fixed,Yes,Unshaded,No,Tables 1+2+3,,,Orientation_updown,,,,Hatcher_1998_Exp1,Hatcher_1998_Poole Bay,Hatcher_1998_Exp1_286 days,Orientation_N,Orientation_Bryozoans,Bryozoans_N,Orientation_Bryozoans_N,579,1,Orientation_Hatcher_1998,Orientation_Hatcher_1998_Poole Bay,Orientation_Hatcher_1998_Exp1_286 days,Orientation_Cellepora pumicosa,Orientation_Cellepora pumicosa_N,1,3,3,2.021158368,12.59524057,Cellepora pumicosa
1502,1461,Hatcher_1998,Hatcher,1998,Hydrobiologia,N,0.0058,NA,0,0.014,0.33,NA,0.58,1.004589468,3,3,PercentageCover,Invertebrates,Ascidians,Ascidia conchilega,N,400cm2,,NA,upfacing,downfacing,12m,12,N,Exp1,Poole Bay,36 days,36,5.142857143,1.183560347,1991,May,50o39'72'N,01o54'79'W,United Kingdom,Orientation,Coal Waste,,Fixed,Yes,Unshaded,No,Tables 1+2+3,,,Orientation_updown,,,,Hatcher_1998_Exp1,Hatcher_1998_Poole Bay,Hatcher_1998_Exp1_36 days,Orientation_N,Orientation_Ascidians,Ascidians_N,Orientation_Ascidians_N,554,1,Orientation_Hatcher_1998,Orientation_Hatcher_1998_Poole Bay,Orientation_Hatcher_1998_Exp1_36 days,Orientation_Ascidia conchilega,Orientation_Ascidia conchilega_N,1,3,3,2.021158368,12.59524057,Ascidia conchilega
1511,1470,Hatcher_1998,Hatcher,1998,Hydrobiologia,N,0.0058,NA,0,0.014,0.33,NA,0.58,1.004589468,3,3,PercentageCover,Invertebrates,Ascidians,Botrylloides leachii,N,400cm2,,NA,upfacing,downfacing,12m,12,N,Exp1,Poole Bay,363 days,363,51.85714286,11.9342335,1991,May,50o39'72'N,01o54'79'W,United Kingdom,Orientation,Coal Waste,,Fixed,Yes,Unshaded,No,Tables 1+2+3,,,Orientation_updown,Botrylloides leachi in paper,,,Hatcher_1998_Exp1,Hatcher_1998_Poole Bay,Hatcher_1998_Exp1_363 days,Orientation_N,Orientation_Ascidians,Ascidians_N,Orientation_Ascidians_N,567,1,Orientation_Hatcher_1998,Orientation_Hatcher_1998_Poole Bay,Orientation_Hatcher_1998_Exp1_363 days,Orientation_Botrylloides leachii,Orientation_Botrylloides leachii_N,1,3,3,2.021158368,12.59524057,Botrylloides leachii
1513,1472,Hatcher_1998,Hatcher,1998,Hydrobiologia,N,0.0058,NA,0,0.014,0.33,NA,0.58,1.004589468,3,3,PercentageCover,Invertebrates,Ascidians,Styela partita,N,400cm2,,NA,upfacing,downfacing,12m,12,N,Exp1,Poole Bay,142 days,142,20.28571429,4.668488035,1991,May,50o39'72'N,01o54'79'W,United Kingdom,Orientation,Coal Waste,,Fixed,Yes,Unshaded,No,Tables 1+2+3,,,Orientation_updown,,,,Hatcher_1998_Exp1,Hatcher_1998_Poole Bay,Hatcher_1998_Exp1_142 days,Orientation_N,Orientation_Ascidians,Ascidians_N,Orientation_Ascidians_N,611,1,Orientation_Hatcher_1998,Orientation_Hatcher_1998_Poole Bay,Orientation_Hatcher_1998_Exp1_142 days,Orientation_Styela partita,Orientation_Styela partita_N,1,3,3,2.021158368,12.59524057,Styela partita
1515,1474,Hatcher_1998,Hatcher,1998,Hydrobiologia,N,0.0058,NA,0,0.014,0.33,NA,0.58,1.004589468,3,3,PercentageCover,Invertebrates,Ascidians,Styela partita,N,400cm2,,NA,upfacing,downfacing,12m,12,N,Exp1,Poole Bay,363 days,363,51.85714286,11.9342335,1991,May,50o39'72'N,01o54'79'W,United Kingdom,Orientation,Coal Waste,,Fixed,Yes,Unshaded,No,Tables 1+2+3,,,Orientation_updown,,,,Hatcher_1998_Exp1,Hatcher_1998_Poole Bay,Hatcher_1998_Exp1_363 days,Orientation_N,Orientation_Ascidians,Ascidians_N,Orientation_Ascidians_N,613,1,Orientation_Hatcher_1998,Orientation_Hatcher_1998_Poole Bay,Orientation_Hatcher_1998_Exp1_363 days,Orientation_Styela partita,Orientation_Styela partita_N,1,3,3,2.021158368,12.59524057,Styela partita
1517,1476,Hatcher_1998,Hatcher,1998,Hydrobiologia,N,0.0058,NA,0,0.014,0.33,NA,0.58,1.004589468,3,3,PercentageCover,Invertebrates,Bryozoans,Conopeum,N,400cm2,,NA,upfacing,downfacing,12m,12,Y,Exp1,Poole Bay,389 days,389,55.57142857,12.78902708,1991,May,50o39'72'N,01o54'79'W,United Kingdom,Orientation,Coal Waste,,Fixed,Yes,Unshaded,No,Tables 1+2+3,,,Orientation_updown,,,,Hatcher_1998_Exp1,Hatcher_1998_Poole Bay,Hatcher_1998_Exp1_389 days,Orientation_N,Orientation_Bryozoans,Bryozoans_N,Orientation_Bryozoans_N,584,1,Orientation_Hatcher_1998,Orientation_Hatcher_1998_Poole Bay,Orientation_Hatcher_1998_Exp1_389 days,Orientation_Conopeum reticulum,Orientation_Conopeum reticulum_N,1,3,3,2.021158368,12.59524057,Conopeum
1518,1477,Hatcher_1998,Hatcher,1998,Hydrobiologia,N,0.0058,NA,0,0.014,0.33,NA,0.58,1.004589468,3,3,PercentageCover,Invertebrates,Poriferans,Sycon ciliatum,N,400cm2,,NA,upfacing,downfacing,12m,12,Y,Exp1,Poole Bay,389 days,389,55.57142857,12.78902708,1991,May,50o39'72'N,01o54'79'W,United Kingdom,Orientation,Coal Waste,,Fixed,Yes,Unshaded,No,Tables 1+2+3,,,Orientation_updown,,,,Hatcher_1998_Exp1,Hatcher_1998_Poole Bay,Hatcher_1998_Exp1_389 days,Orientation_N,Orientation_Poriferans,Poriferans_N,Orientation_Poriferans_N,614,1,Orientation_Hatcher_1998,Orientation_Hatcher_1998_Poole Bay,Orientation_Hatcher_1998_Exp1_389 days,Orientation_Sycon ciliatum,Orientation_Sycon ciliatum_N,1,3,3,2.021158368,12.59524057,Sycon ciliatum
1483,1442,Hatcher_1998,Hatcher,1998,Hydrobiologia,N,0.0058,NA,0,0.014,3.33,NA,5.77,9.99393316,3,3,PercentageCover,Invertebrates,Bryozoans,Schizomavella linearis,N,400cm2,,NA,upfacing,downfacing,12m,12,N,Exp1,Poole Bay,68 days,68,9.714285714,2.235613988,1991,May,50o39'72'N,01o54'79'W,United Kingdom,Orientation,Coal Waste,,Fixed,Yes,Unshaded,No,Tables 1+2+3,,,Orientation_updown,,,,Hatcher_1998_Exp1,Hatcher_1998_Poole Bay,Hatcher_1998_Exp1_68 days,Orientation_N,Orientation_Bryozoans,Bryozoans_N,Orientation_Bryozoans_N,609,1,Orientation_Hatcher_1998,Orientation_Hatcher_1998_Poole Bay,Orientation_Hatcher_1998_Exp1_68 days,Orientation_Schizomavella linearis,Orientation_Schizomavella linearis_N,1,3,3,3.182044203,12.533213,Schizomavella linearis
